OBJECTID_1,FIPS,EDU_COMP,EDU_RANK,EE_COMP,EE_RANK,N_COMP,N_RANK,COMP_,COMP_RANK,COMP_OPP
1,26163500200,-0.863389,1,-0.530794,2,-0.290173,2,-0.561452,2,Low
2,26163500700,-0.669986,2,-0.762115,1,-0.456637,2,-0.629579,2,Low
3,26163501200,-1.632484,1,-0.893576,1,-0.86121,1,-1.12909,1,Very Low
4,26163503100,-0.75523,1,-0.845793,1,-0.184987,2,-0.595337,2,Low
5,26163503400,-0.982895,1,-0.506598,2,-0.436609,2,-0.642034,2,Low
6,26163504200,-1.149156,1,-0.999085,1,-1.002676,1,-1.050306,1,Very Low
7,26163504900,-0.820414,1,-0.710334,1,-0.238694,2,-0.589814,2,Low
8,26163506100,-0.762929,1,-1.416062,1,-0.456341,2,-0.878444,1,Very Low
9,26163506400,-1.455166,1,-0.648976,1,-0.891107,1,-0.998416,1,Very Low
10,26163507000,-0.938541,1,-1.559273,1,-0.788737,1,-1.095517,1,Very Low
11,26163507500,-0.895522,1,-1.125868,1,-0.803975,1,-0.941789,1,Very Low
12,26163510500,-1.062373,1,-1.136634,1,-1.289668,1,-1.162892,1,Very Low
13,26163511300,-1.1679,1,-1.241477,1,-1.193117,1,-1.200831,1,Very Low
14,26163512300,-1.150765,1,-2.00042,1,-1.214861,1,-1.455349,1,Very Low
15,26163513200,-0.90389,1,-0.855682,1,-0.756417,1,-0.838663,1,Very Low
16,26163514100,-1.257907,1,-1.796055,1,-1.080133,1,-1.378032,1,Very Low
17,26163515300,-1.608934,1,-0.781148,1,-0.928036,1,-1.106039,1,Very Low
18,26163516000,-1.306809,1,-1.575856,1,-0.738702,1,-1.207122,1,Very Low
19,26163516400,-1.221553,1,-0.704633,1,-1.012288,1,-0.979491,1,Very Low
20,26163516800,-1.433747,1,-1.577193,1,-1.170998,1,-1.393979,1,Very Low
21,26163517300,-1.134054,1,-1.550096,1,-1.231836,1,-1.305329,1,Very Low
22,26163518500,-1.36753,1,-0.966812,1,-1.137575,1,-1.157306,1,Very Low
23,26163520300,-0.085462,3,-0.194392,2,-1.048922,1,-0.442925,2,Low
24,26163985000,-0.847968,1,-1.748279,1,-0.751547,1,-1.115931,1,Very Low
25,26163985500,-0.525895,2,-0.142772,2,-0.888189,1,-0.518952,2,Low
26,26163520700,-0.90658,1,-0.289018,2,-1.073794,1,-0.756464,1,Very Low
27,26163520800,-0.775577,1,0.309091,4,-0.660343,1,-0.37561,2,Low
28,26163521100,-0.865591,1,-0.736644,1,-0.983874,1,-0.862036,1,Very Low
29,26163521300,-0.378028,2,-0.454897,2,-0.452107,2,-0.428344,2,Low
30,26163523200,-1.262489,1,0.047362,3,-0.845218,1,-0.686782,1,Very Low
31,26163523400,-1.13415,1,-1.730069,1,-0.797478,1,-1.220566,1,Very Low
32,26163524500,-1.878542,1,-0.554751,2,-0.754633,1,-1.062642,1,Very Low
33,26163525400,-1.080592,1,-0.758465,1,-1.058252,1,-0.96577,1,Very Low
34,26163525800,-1.158388,1,-0.50868,2,-1.235263,1,-0.967444,1,Very Low
35,26163526300,-1.149356,1,-0.950504,1,-0.904567,1,-1.001476,1,Very Low
36,26163530200,-0.471126,2,-0.710296,1,-0.527016,2,-0.569479,2,Low
37,26163530900,-0.877578,1,-1.470155,1,-1.288671,1,-1.212135,1,Very Low
38,26163531300,-0.779076,1,-1.269942,1,-1.041445,1,-1.030154,1,Very Low
39,26163531700,-1.566565,1,-1.635183,1,-1.187624,1,-1.463124,1,Very Low
40,26163532400,-0.453102,2,-1.284354,1,-1.124673,1,-0.954043,1,Very Low
41,26163533100,-0.891551,1,-1.064109,1,-1.19285,1,-1.049504,1,Very Low
42,26163533500,-1.786106,1,-0.389245,2,-1.16055,1,-1.111967,1,Very Low
